                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2471,                   3.67,                 1.5336,                0.02873,                0.08185,                0.01554,                0.00406,                 2.0798,                 3.6916,                 1.2554,             0.00054625,             0.00054625,             0.00054625
                      2,                 2.0945,                 3.3038,                   1.35,                0.15414,                0.23816,                0.22319,                0.10838,                 2.0582,                 3.3226,                 1.2413,              0.0010801,              0.0010801,              0.0010801
                      3,                 2.0929,                 2.9602,                 1.3093,                0.33332,                0.17283,                0.22585,                0.07873,                 2.4589,                 2.7715,                 1.3691,              0.0015919,              0.0015919,              0.0015919
                      4,                 2.1293,                 2.6381,                 1.2944,                0.82376,                0.23873,                0.27009,                0.12347,                 2.3062,                 2.2708,                 1.3468,               0.001568,               0.001568,               0.001568
                      5,                 2.1458,                 2.3498,                 1.3117,                0.77231,                0.24309,                0.25458,                0.09605,                 2.3392,                 2.0892,                 1.3728,               0.001535,               0.001535,               0.001535
                      6,                 2.1585,                 2.1386,                 1.2987,                0.81374,                0.30396,                0.30693,                0.12358,                 2.1864,                 1.6846,                  1.307,               0.001502,               0.001502,               0.001502
                      7,                 2.0866,                 1.8521,                 1.2722,                0.82624,                0.31183,                 0.3093,                0.12767,                  2.132,                 1.5688,                  1.323,               0.001469,               0.001469,               0.001469
                      8,                 2.0731,                 1.7365,                 1.2706,                0.81365,                0.29367,                0.30585,                0.12024,                 2.2091,                 1.6216,                 1.3661,               0.001436,               0.001436,               0.001436
                      9,                 2.0224,                 1.6322,                  1.274,                0.83316,                0.32253,                0.31956,                0.13527,                 2.1076,                 1.4342,                 1.2859,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.0281,                 1.5442,                  1.267,                 0.8539,                0.32609,                0.35201,                0.15593,                 2.0411,                 1.3596,                 1.2783,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.9275,                  1.489,                 1.2767,                0.86871,                 0.3076,                0.34908,                0.13727,                 2.2325,                  1.371,                 1.3337,              0.0013369,              0.0013369,              0.0013369
                     12,                  2.049,                   1.46,                 1.2718,                 0.8104,                0.32845,                0.30279,                0.13253,                 2.0658,                 1.3587,                 1.2759,              0.0013039,              0.0013039,              0.0013039
                     13,                  1.961,                  1.407,                  1.236,                0.86241,                0.32574,                0.35854,                0.16947,                 1.9402,                 1.2456,                 1.2347,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.8757,                 1.3123,                 1.2284,                0.86861,                0.32036,                0.35666,                0.16054,                 2.0389,                  1.278,                  1.258,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.8425,                 1.2772,                 1.2399,                0.85902,                0.32634,                0.34949,                0.14055,                 2.1899,                 1.2154,                 1.3157,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.8912,                 1.2833,                 1.2175,                0.82016,                0.30461,                0.30546,                0.13369,                 2.1093,                 1.2497,                 1.2985,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.9051,                 1.3019,                 1.2169,                0.86958,                0.32503,                0.35745,                0.16576,                 1.9415,                 1.1978,                 1.2264,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.8581,                 1.2371,                 1.2104,                0.85987,                0.33624,                0.36249,                0.16574,                  1.964,                 1.1922,                 1.2266,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.8642,                 1.2346,                 1.2203,                 0.8535,                0.32117,                0.34722,                0.14631,                 2.1083,                 1.1896,                 1.2497,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.8768,                 1.2143,                 1.2077,                0.86683,                 0.3279,                 0.3572,                0.14657,                 2.1185,                 1.1773,                 1.2537,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.8617,                 1.1936,                 1.2083,                0.86851,                0.33798,                 0.3673,                0.15962,                  2.022,                 1.1408,                 1.2302,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.8076,                 1.1445,                 1.1893,                0.86646,                0.33898,                0.37574,                0.17945,                 1.9261,                 1.1158,                 1.2164,             0.00097386,             0.00097386,             0.00097386
                     23,                  1.807,                 1.1696,                 1.1916,                0.85702,                0.33674,                0.35977,                0.16576,                 1.9448,                 1.1354,                 1.2201,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.8225,                 1.2534,                 1.1929,                 0.8484,                0.33028,                0.34225,                0.15589,                 1.9668,                 1.1023,                 1.2169,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.8252,                 1.1563,                 1.1739,                0.87409,                0.33923,                0.36924,                 0.1642,                 2.0186,                 1.0793,                 1.2265,             0.00087484,             0.00087484,             0.00087484
                     26,                  1.766,                 1.1079,                 1.1848,                0.87098,                 0.3341,                0.37254,                0.17338,                 1.9469,                 1.0986,                 1.2156,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.7674,                 1.1208,                 1.1809,                0.87252,                0.33437,                0.37212,                0.17996,                 1.8858,                 1.0966,                 1.1981,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.7624,                 1.1161,                 1.1612,                 0.8764,                0.34234,                0.37881,                 0.1802,                 1.9117,                 1.0903,                 1.1973,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.7637,                 1.1221,                 1.1716,                0.88048,                0.34054,                0.38627,                0.18417,                 1.9331,                 1.0575,                  1.202,             0.00074282,             0.00074282,             0.00074282
                     30,                   1.73,                 1.0775,                 1.1652,                0.88242,                0.35118,                0.38778,                0.18389,                 1.9111,                 1.0279,                 1.1922,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.7556,                 1.0694,                 1.1506,                0.88508,                0.34583,                0.37703,                0.18066,                 1.9037,                  1.042,                 1.2001,              0.0006768,              0.0006768,              0.0006768
                     32,                  1.703,                 1.0628,                  1.158,                0.89087,                0.34184,                0.38233,                0.18609,                 1.8729,                 1.0375,                 1.1913,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.7211,                 1.0656,                  1.165,                0.88446,                0.34695,                0.38377,                0.18645,                 1.8824,                 1.0404,                 1.1924,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.7013,                 1.0553,                  1.142,                0.88394,                 0.3444,                0.38794,                0.18673,                 1.8933,                 1.0342,                 1.1898,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.7021,                 1.0312,                 1.1444,                0.88114,                0.33985,                0.37728,                 0.1763,                  1.945,                  1.046,                 1.2078,             0.00054478,             0.00054478,             0.00054478
                     36,                  1.723,                 1.0463,                 1.1436,                0.88167,                0.34882,                0.38536,                0.18036,                 1.9142,                 1.0254,                 1.1917,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.7138,                 1.0368,                 1.1478,                0.87723,                0.34645,                0.38367,                0.18467,                 1.8834,                 1.0188,                 1.1906,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.6767,                 1.0137,                 1.1315,                0.88526,                0.34956,                0.39073,                 0.1877,                 1.8985,                 1.0037,                 1.1853,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.7297,                 1.0233,                 1.1619,                0.89207,                0.34321,                0.39086,                0.18646,                 1.9176,                0.99884,                 1.1952,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.5904,                0.96064,                 1.1202,                0.88833,                0.34857,                0.39335,                 0.1913,                 1.8937,                0.99763,                  1.192,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.6602,                 1.0246,                 1.1465,                0.88908,                0.34844,                 0.3981,                0.19532,                 1.8608,                0.99542,                 1.1812,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.6622,                 1.0146,                 1.1511,                0.88323,                0.35392,                0.38616,                0.18652,                 1.8639,                 1.0024,                 1.1834,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.6253,                0.98741,                 1.1369,                0.88469,                0.35367,                0.38623,                0.18678,                 1.8578,                 1.0021,                 1.1816,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.5974,                0.97381,                 1.1297,                0.88927,                0.34907,                 0.3884,                0.19031,                 1.8424,                0.99655,                 1.1765,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.6244,                0.97187,                 1.1186,                0.89107,                0.35068,                0.38861,                0.19366,                 1.8232,                0.99099,                 1.1696,             0.00021471,             0.00021471,             0.00021471
                     46,                  1.583,                0.95812,                 1.1324,                0.89392,                0.35044,                0.39862,                0.20037,                  1.827,                0.98266,                 1.1693,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.6157,                0.97019,                 1.1524,                0.89026,                0.35342,                0.39833,                0.19607,                 1.8471,                0.98712,                 1.1764,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.6279,                 0.9814,                 1.1475,                0.88962,                0.34944,                0.39616,                0.19362,                 1.8564,                0.98572,                 1.1812,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.6295,                0.99388,                 1.1388,                0.89001,                0.34842,                 0.3952,                0.19486,                 1.8587,                0.98742,                 1.1837,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.6149,                0.96246,                 1.1309,                0.88637,                0.35168,                0.39702,                0.19558,                 1.8502,                0.98335,                 1.1783,             4.9677e-05,             4.9677e-05,             4.9677e-05
