                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5688,                0.91855,                 1.0409,                0.89311,                0.35143,                0.40121,                0.22406,                 1.6052,                0.94199,                 1.1151,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.6012,                0.93029,                 1.0524,                0.89754,                0.36052,                0.40672,                0.23238,                 1.5633,                0.92259,                  1.096,             0.00054478,             0.00054478,             0.00054478
                     36,                  1.587,                0.92115,                 1.0561,                0.89369,                0.36239,                0.40053,                0.22591,                 1.5787,                0.92876,                 1.0989,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.5402,                0.89413,                 1.0375,                0.90088,                0.36488,                0.40497,                0.23179,                 1.5637,                0.90898,                 1.0987,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.5828,                0.90137,                 1.0345,                0.90098,                0.37186,                 0.4137,                0.23815,                 1.5582,                0.89844,                 1.0979,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.5418,                0.90085,                  1.045,                0.90149,                0.37597,                0.41827,                 0.2407,                 1.5651,                0.89414,                 1.1029,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.5246,                0.88847,                 1.0338,                0.90073,                0.37073,                0.41769,                0.24168,                 1.5562,                0.89972,                 1.0979,             0.00037974,             0.00037974,             0.00037974
                     41,                  1.515,                 1.0517,                  1.065,                0.89941,                0.37024,                0.40702,                0.23596,                 1.5483,                0.89589,                 1.0986,             0.00034674,             0.00034674,             0.00034674
                     42,                  1.519,                0.97292,                 1.0652,                0.88878,                0.36712,                0.40669,                0.23312,                 1.5463,                0.91647,                 1.1029,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.5137,                0.95095,                  1.056,                0.88983,                0.34969,                0.38837,                0.21447,                 1.5861,                0.95524,                 1.1228,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.4977,                 0.9366,                 1.0433,                0.39076,                0.35392,                0.39031,                0.21945,                 1.5634,                0.96519,                 1.1062,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.4824,                0.92445,                 1.0439,                0.90195,                 0.3604,                 0.4261,                0.24324,                 1.5281,                0.94404,                 1.0914,             0.00021471,             0.00021471,             0.00021471
                     46,                  1.495,                0.94194,                 1.0481,                0.90477,                 0.3609,                0.42227,                 0.2426,                 1.5229,                0.93092,                 1.0908,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.4616,                0.90361,                 1.0361,                0.90475,                0.36152,                0.42823,                0.24577,                 1.5229,                0.92223,                 1.0911,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.4838,                0.92036,                 1.0481,                0.90217,                0.36376,                0.42507,                0.24566,                 1.5219,                0.90809,                 1.0919,             0.00011569,             0.00011569,             0.00011569
                     49,                  1.477,                0.89431,                 1.0375,                0.90102,                0.36527,                0.42574,                0.24694,                 1.5206,                0.90217,                  1.091,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.4642,                0.89081,                 1.0344,                0.90276,                0.36613,                0.42191,                0.24518,                 1.5187,                0.89975,                 1.0906,             4.9677e-05,             4.9677e-05,             4.9677e-05
